author,statement,source,date,target
Jeff Cercone,"They passed the flu off as COVID-19, and “they’re going to do the same thing with monkeypox and shingles.”",Facebook posts,"May 26, 2022",false
Madison Czopek,“We know from past experiences that the most effective tool for keeping kids safe is armed law enforcement on the campus.”,Ted Cruz,"May 26, 2022",false
Laura Schulte,On Gov. Tony “Evers’ watch…the efficiency of the state crime lab has plummeted.”,Republican Party of Wisconsin,"May 26, 2022",barely-true
Jon Greenberg,"""When we passed the assault weapons ban, mass shootings went down. When the law expired, mass shootings tripled.""",Joe Biden,"May 25, 2022",mostly-true
Samantha Putterman,"ABC News altered the Uvalde, Texas, school shooter’s photo to appear more Caucasian.",Tweets,"May 25, 2022",false
Ciara O'Rourke,"Texas is ""50th in the nation in mental health care access.""",Beto O'Rourke,"May 25, 2022",mostly-true
Nusaiba Mizan,"ICE is in Uvalde, Texas, “so undocumented parents have to consider arrest deportation before they go check to see if their kids are alive.”",Tweets,"May 25, 2022",false
Maria Ramirez,"This image shows the victims of the school shooting in Uvalde, Texas.",Facebook posts,"• May 25,",false
Monique Curet,Suggests a January traffic accident involving lab monkeys was responsible for spreading monkeypox to humans.,Facebook posts,"May 25, 2022",false
Amy Sherman,"“90% of Americans, regardless of political party, want universal background checks.”",Steve Kerr,"May 25, 2022",mostly-true
Tom Kertscher,"“50% of the guns sold in Texas, because of the loopholes, do not pass through a background check.”",Matthew Dowd,"May 25, 2022",false
Monique Curet,"El atacante en Uvalde, Texas estaba en Estados Unidos ilegalmente.",Facebook posts,"May 25, 2022",false
Paul Specht,Cheri Beasley “vacated” a man’s death sentence and “threw out” the indictment in a child assault case.,National Republican Senatorial Committee,"May 25, 2022",half-true
Louis Jacobson,"“Most of these killers tend to be 18, 19 years old.”",Chris Murphy,"May 25, 2022",mostly-true
Ciara O'Rourke,“They just exposed Mark Zuckerberg as a CIA agent.”,Facebook posts,"May 25, 2022",false
Ciara O'Rourke,"Photos of a person in a skirt show the Uvalde, Texas, school shooter.",Facebook posts,"May 25, 2022",false
Maria Ramirez,Esta imagen muestra a las víctimas del tiroteo en la escuela en Uvalde Texas.,Facebook posts,"• May 25,",false
Ciara O'Rourke,"The Uvalde, Texas, school shooter was a “transsexual leftist illegal alien named Salvatore Ramos.”",Facebook posts,"May 25, 2022",false
Monique Curet,“American journalist” Jack Posobiec was “arrested at World Economic Forum.”,Donald Trump Jr.,"May 25, 2022",false
Monique Curet,"The Uvalde, Texas, mass shooter was an “illegal alien.”",Facebook posts,"May 25, 2022",false
Madison Czopek,“Swedish health authorities considering introducing restrictions because of monkeypox outbreak.”,Facebook posts,"May 25, 2022",false
Ciara O'Rourke,"The shooting at an elementary school in Uvalde County, Texas, was a false flag.",Tweets,"May 24, 2022",pants-fire
Monique Curet,The current monkeypox outbreak was planned by government and industry leaders.,Facebook posts,"May 24, 2022",false
Jon Greenberg,“J.D. Vance profits off Russia propaganda.”,Tim Ryan,"May 24, 2022",half-true
Ciara O'Rourke,Monkeypox “was created in a lab and given via injection.”,Facebook posts,"May 24, 2022",false
Ciara O'Rourke,Monkeypox is biological warfare “against us by our governments.”,Facebook posts,"May 24, 2022",false
Sara Swann,The United States can’t import baby formula because of the U.S.-Mexico-Canada Agreement.,Facebook posts,"May 24, 2022",barely-true
Ciara O'Rourke,“Bill Gates is behind the monkeypox outbreaks.”,Facebook posts,"May 24, 2022",pants-fire
Monique Curet,"The World Health Assembly was canceled ""after the Geneva airport was coincidentally blown up.""",Facebook posts,"May 24, 2022",false
Louis Jacobson,"Stacey Abrams ""supported the MLB boycott.""",Chris Carr,"May 24, 2022",false
Vanessa Swales,"In a recent year, the Milwaukee Police Department ""collected more guns per capita off the streets than in New York.”",Cavalier Johnson,"May 24, 2022",true
Samantha Putterman,"A Mars Rover photo captured by NASA shows a doorway, suggesting extraterrestrial life.",Facebook posts,"May 23, 2022",false
Ciara O'Rourke,Video shows a “Russian pilot” escaping from jets and a Russian aircraft getting hit by a missile.,Viral image,"May 23, 2022",false
Amy Sherman,Georgia Gov. Brian Kemp “allowed 7.5 million ballots to be sent to every registered voter.”,David Perdue,"May 23, 2022",false
Louis Jacobson,"In 2020, when Raphael Warnock ran a campaign ad featuring himself with a beagle, “that wasn’t his dog.”",Gary Black,"May 23, 2022",true
Ciara O'Rourke,A 2021 article about monkeypox that used a photo of a shingles rash proves the monkeypox virus is a hoax.,Facebook posts,"May 23, 2022",false
Monique Curet,"“Americans can get up to $50k in relief” from a “new benefit that just got released last week.""",Facebook posts,"May 23, 2022",pants-fire
Ciara O'Rourke,Photos of monkeypox lesions prove the current virus outbreak is a hoax.,Facebook posts,"May 23, 2022",false
Warren Fiske,Merrick Garland “sicced the police on parents when they were at the school boards simply trying to be heard for the safety of their children.”,Winsome Earle-Sears,"May 23, 2022",false
Ciara O'Rourke,"“Indiana woman charged for mail in voter fraud, delivered 400 ballots with Democrat box pre-checked.”",Viral image,"May 20, 2022",half-true
Samantha Putterman,"Supreme Court Justice Clarence Thomas and his wife Ginni posted a photo of themselves enjoying a $5,135 bottle of wine “as American women despair about abortion rights being taken away from them.”",Tweets,"May 20, 2022",false
Ciara O'Rourke,Video shows helicopters in Ukraine “being picked off in ambush - Short range air-to-air missile”,Facebook posts,"May 20, 2022",false
Ciara O'Rourke,Video shows “Russian tank column totally destroyed by attack helicopter.”,Facebook posts,"May 20, 2022",false
D.L. Davis,Says Gov. Tony Evers is “a big proponent of this defund the police movement.”,Rebecca Kleefisch,"May 20, 2022",false
Tom Kertscher,"""David Perdue voted with liberals” for $10 trillion “in new debt, his out-of-control federal spending is driving inflation through the roof.""",Brian Kemp,"May 19, 2022",barely-true
Madison Czopek,Says Fox News and Candace Owens tweeted that “New studies show that 68% of those who used ivermectin to treat or prevent covid are suffering long-term bowel and urinary incontinence.”,Facebook posts,"May 19, 2022",false
Monique Curet,"“(Pfizer) says do not breastfeed. Baby formula shortages everywhere. Gates promotes brand new artificial breast milk technology. All within less than a 2 week period. …Nothing to see here.""",Facebook posts,"May 19, 2022",false
Monique Curet,“Don't let this formula shortage scare you!!! Make your baby some hemp milk w/sea moss. It’s easy I promise!”,Facebook posts,"May 19, 2022",false
Ciara O'Rourke,A photo of Ukrainians with paintball guns proves the war is staged.,Viral image,"May 19, 2022",pants-fire
Amy Sherman,"Georgia Secretary of State Brad Raffensperger used ""$50 million of Zuckerberg money"" in 2020 to ""tip the scales.""",Jody Hice,"May 19, 2022",false
Monique Curet,"""In Iran, if a 12-year-old girl is raped and impregnated by her father, she must carry the baby to term, or be thrown in prison for life. Wait, sorry, no, That's Alabama.""",Instagram posts,"May 19, 2022",false
Louis Jacobson,Agriculture “is still the No. 1 sector of the economy” in Georgia.,Gary Black,"May 19, 2022",false
Ciara O'Rourke,"Students in Wilkes County, North Carolina, “identify themselves as cats or ‘furries’” and “have asked for litter boxes to be placed in school restrooms for them to use.”",Facebook posts,"May 19, 2022",pants-fire
Jon Greenberg,“The Biden administration is bringing amendments that would propose that all nations of the earth cede their sovereignty over national health care decisions to the WHO.”,Michele Bachmann,"May 19, 2022",false
Ciara O'Rourke,"News interview proves that the Buffalo, New York supermarket shooting was staged.",Instagram posts,"May 19, 2022",pants-fire
Ciara O'Rourke,“Soldiers destroyed Russian tank with NLAW in ambush.”,Viral image,"May 19, 2022",false
Madison Czopek,The U.S. government’s inaction over buffalo killing that harmed Native American populations in the 1800s shows it is now “is creating food shortages” so that Americans are more “dependent on the government.”,Facebook posts,"May 19, 2022",false
Nusaiba Mizan,"""Under Greg Abbott, property taxes have gone up $20 billion.""",Beto O'Rourke,"May 19, 2022",mostly-true
Ciara O'Rourke,Goat’s milk is a good substitute for baby formula.,Facebook posts,"May 19, 2022",false
Ciara O'Rourke,“Breaking: Democrats introduce bill to put Americans in quarantine camps.”,Bloggers,"May 18, 2022",pants-fire
Monique Curet,“Due to the baby formula shortage Tricare will now pay to have it shipped directly to you.”,Facebook posts,"May 18, 2022",half-true
Amy Sherman,The problem with mail ballots in Lancaster County is a sign of “voter fraud.”,Tweets,"May 18, 2022",false
Ciara O'Rourke,Photo from “data leak at Elon Musk AND NASA … are said to be from one of Elon Musk’s Space-X satellites.”,Viral image,"May 18, 2022",false
Ciara O'Rourke,"CBS News reported that two more suspects were arrested in the Buffalo shooting, and that one more victim was identified.",Viral image,"May 18, 2022",false
Samantha Putterman,"“79% of Planned Parenthood clinics are in minority neighborhoods. This is not by accident. That is by its founder, Margaret Sanger's, eugenicist design.""",Candace Owens,"May 18, 2022",barely-true
Ciara O'Rourke,A recent photo shows the “Russian Orthodox Church blessing a rocket called Satan.”,Facebook posts,"May 18, 2022",false
Gabrielle Settles,"The mass shooting in Buffalo, New York was a “false flag event.”",Tweets,"May 18, 2022",pants-fire
Maria Ramirez,“The vast majority of individuals that we’re releasing out are not showing up for hearings.”,James Lankford,"• May 17,",false
Ciara O'Rourke,Your state will send you free infant formula if you call Enfamil and Similac customer service numbers.,Facebook posts,"May 17, 2022",false
Ciara O'Rourke,Amazon will ship baby formula to U.S. addresses if you change your preferred country on its website from the U.S. to Canada.,Facebook posts,"May 17, 2022",barely-true
Bill McCarthy,"A reporter who covered the Buffalo supermarket shooting was a ""crisis actor.""",Instagram posts,"May 17, 2022",pants-fire
Monique Curet,Donations of baby formula to Ukraine helped cause the current U.S. shortage.,Facebook posts,"May 17, 2022",false
Louis Jacobson,"“When unemployment goes down, inflation goes up.”",Nancy Pelosi,"May 17, 2022",barely-true
Ciara O'Rourke,Images show Joe Biden surrounded by U.S. Marshals.,Facebook posts,"May 17, 2022",false
Ciara O'Rourke,Mark Zuckerberg was arrested.,Facebook posts,"May 17, 2022",pants-fire
Yacob Reyes,"“Disney stock is down more than 70% and attendance is down more than 55%! 10.1 million people canceled their Disney+ subscription.""",Facebook posts,"May 17, 2022",false
Ciara O'Rourke,No planes are visible in footage of the 9/11 attack.,Viral image,"May 17, 2022",pants-fire
Tom Kertscher,"Kathy Barnette ""pretends she's America First, but repeatedly attacked President Trump.""",Our American Century,"May 17, 2022",half-true
Laura Schulte,"“Title 42 has fueled the border crisis. In 2019, 7 percent of illegal border crossings were repeated crossings. Today the rate is 27 percent.”",Tom Nelson,"May 17, 2022",half-true
Jon Greenberg,“Democrats want open borders so they can bring in and amnesty tens of millions of illegal aliens — that’s their electoral strategy.”,Blake Masters,"May 16, 2022",false
Tom Kertscher,Says she never tweeted comments linking pedophilia and Islam.,Kathy Barnette,"May 16, 2022",pants-fire
Madison Czopek,"“We have 76% of Americans living paycheck to paycheck, meaning they are one paycheck away from poverty.”",Facebook posts,"May 16, 2022",barely-true
Monique Curet,Suggests Megan Thee Stallion was not shot in the foot.,Facebook posts,"May 16, 2022",false
Ciara O'Rourke,“Finland joins NATO.”,Facebook posts,"May 16, 2022",barely-true
Gabrielle Settles,The NewProfilePic app is Russian spyware.,Facebook posts,"May 16, 2022",false
Paul Specht,"State Sen. Kirk deViere voted against Medicaid expansion, the governor’s budget and teacher raises.",North Carolina Futures Action Fund,"May 16, 2022",false
Louis Jacobson,“When President Biden took office … there was no vaccine available.”,Joe Biden,"May 16, 2022",false
Ciara O'Rourke,“Your government quietly confirmed the fully vaccinated are developing Acquired Immunodeficiency Syndrome.”,Viral image,"May 16, 2022",pants-fire
Ciara O'Rourke,Photos of the alleged Buffalo shooting gunman show two different people.,Facebook posts,"May 16, 2022",pants-fire
Yacob Reyes,“It costs more to live in many Florida cities than New York City.”,Charlie Crist,"May 16, 2022",half-true
Jon Greenberg,"“Kathy Barnette wants to build a statue of Barack Obama right next to the one of Abraham Lincoln on Capitol Hill.""",USA Freedom Fund,"May 13, 2022",mostly-true
Madison Czopek,Says the Biden administration is choosing to send baby formula to the border as one of its “out-of-touch priorities.”,Greg Abbott,"May 13, 2022",barely-true
Louis Jacobson,Joe Biden “inherited inflation of 1.7%. Now we're well over 8% and growing.”,Kathy Barnette,"May 13, 2022",mostly-true
Monique Curet,Homemade baby formula recipes offer a ‘viable option’ during U.S. shortage,Facebook posts,"May 13, 2022",false
Jon Greenberg,“We’re one of the seven nations in the world that allow abortion on demand at 20 weeks.”,Lindsey Graham,"May 13, 2022",half-true
Louis Jacobson,“Agriculture is the No. 1 industry here in Pennsylvania.”,Kathy Barnette,"May 13, 2022",false
Louis Jacobson,"“My Treasury Department is planning to pay down the national debt this quarter, which never happened under my predecessor.”",Joe Biden,"May 13, 2022",half-true
Monique Curet,Says people can follow a 1960 recipe for homemade baby formula as a workaround during the current shortage.,Facebook posts,"May 13, 2022",false
Alan Hovorka,"The Biden administration has been ""recklessly releasing potentially dangerous Afghans into our communities.""",Tom Tiffany,"May 13, 2022",barely-true
Monique Curet,Suggests Amber Heard snorted cocaine while on the stand in court.,Facebook posts,"May 12, 2022",pants-fire
Samantha Putterman,The infant formula shortage was purposely created because Mark Zuckerberg and Bill Gates invested in artificial breast milk.,Facebook posts,"May 12, 2022",false
Tom Kertscher,"""Kari Lake has been appearing at rallies with neo-Nazis,"" while ""two federal juries have found"" Katie Hobbs ""guilty of racial discrimination.""",Aaron Lieberman,"May 12, 2022",barely-true
Yacob Reyes,"“Is ANYONE asking how Ron DeSantis was worth $340,000 in 2020 and is now worth $52 million?""",Tweets,"May 12, 2022",false
Gabrielle Settles,"An adenovirus is a combination of viruses, gastrointestinal virus, pneumonia and COVID-19 mixed together to “kill our children.”",Facebook posts,"May 12, 2022",false
Warren Fiske,“CO2 is not a pollutant.”,Suburban Virginia Republican Coalition,"May 12, 2022",false
Samantha Putterman,Supreme Court Justices Amy Coney Barrett and Samuel Alito said that the U.S. needs a “domestic supply of infants” to meet the needs of parents seeking to adopt.,Facebook posts,"May 12, 2022",false
Monique Curet,"Says photo shows ""one of Tesla's lithium supply mines where entire mountains are eliminated.""",Facebook posts,"May 11, 2022",false
D.L. Davis,"Due to U.S. Senate rules, Democrats need ""more than a majority ... to codify Roe vs. Wade.""",Kelda Helen Roys,"May 11, 2022",true
Jeff Cercone,"Video shows abortion rights activist urging women to ""run on down to the abortion clinic"" if they get pregnant.",Facebook posts,"May 11, 2022",false
Tom Kertscher,Mehmet Oz is “pro-abortion.”,Dave McCormick,"May 11, 2022",barely-true
Monique Curet,"Says photo shows ""the sharpest image of the sun ever recorded.""",Facebook posts,"May 11, 2022",false
Monique Curet,"Says video shows ""Ukrainian forces shoot down Russian plane carrying hundreds (of) troops on Kyiv airport.""",Facebook posts,"May 10, 2022",false
Monique Curet,"""148th Kentucky Derby winner Rich Strike jockey Sonny Leon just turned down a White House invite, saying 'If I wanted to see a horse's ass, I would have came (sic) in second.’""",Facebook posts,"May 10, 2022",pants-fire
Monique Curet,"Margaret Sanger, founder of Planned Parenthood, referred to Black women as weeds that needed to be plucked from their garden, and was a supporter of the Ku Klux Klan and a Democrat.",Peggy Hubbard,"May 10, 2022",false
D.L. Davis,"The state crime lab under Attorney General Josh Kaul ""is testing significantly less items than former AG Brad Schimel and is still taking longer to test many categories of key items in comparison to Schimel, including DNA.""",Eric Toney,"May 10, 2022",true
Lyle Muller,"“Senator Grassley hopped off the Finance Committee, where he could be helpful to Iowa and the nation, in favor of the Judiciary Committee""",Mike Franken,"May 9, 2022",false
Jeff Cercone,"""GOP Sen. Marsha Blackburn has proposed that birth control should only be legal for MARRIED couples.”",Tweets,"May 9, 2022",false
Samantha Putterman,"“Tennessee just banned Plan B and made it a crime punishable by a $50,000 fine to order it.”",Pam Keith,"May 9, 2022",false
Nusaiba Mizan,"""In Texas, Republicans passed a law allowing rapists to sue their victims for getting an abortion.""",Alexandria Ocasio-Cortez,"May 9, 2022",false
Samantha Putterman,Amber Heard plagiarized lines from the movie “The Talented Mr. Ripley” in her opening statement during the Johnny Depp libel trial.,Facebook posts,"May 9, 2022",false
Jill Terreri,"When the New York State Senate voted to legalize abortion in 1970, 12 Republican senators voted in favor of it.",Andrea Stewart-Cousins,"• May 7,",true
Bill McCarthy,"When there is “a noose on a college dorm of a Black student” or a racial slur “on a dormitory building, the odds are overwhelming that a Black student actually did that.""",Dennis Prager,"May 6, 2022",false
Sara Swann,“If you earn $100 and pay $33 income tax you’re left with $67. You then buy $67 worth of fuel and in doing so pay a 48% fuel tax (fuel tax = $32.16 + $6.70 GST). This means that the government just got $71.86 tax from your hard earned $100.”,Facebook posts,"May 6, 2022",barely-true
Samantha Putterman,“Military Arrests Biden’s Sec. of Agriculture Tom Vilsack.”,Bloggers,"May 6, 2022",pants-fire
Elizabeth Egan,“New York leads the U.S. in population loss.”,Lee Zeldin,"May 6, 2022",true
Monique Curet,“Roe v. Wade happened because a woman lied about being raped by black men.”,Facebook posts,"May 6, 2022",false
Samantha Putterman,“mRNA Vaccines Show No Mortality Benefit - Danish Study”,YouTube videos,"May 6, 2022",false
Madeline Heim,"Says Gov. Tony Evers ""wanted to increase your taxes by $1 billion just for heating your homes. Instead, Republicans cut your taxes by more than $2 billion.""",John Macco,"May 6, 2022",half-true
Monique Curet,“Space X’s Starlink internet constellation has angered Russia as it was reported that the Starlink satellite constellation was used to guide the fire” on the Russian ship Moskva.,Facebook posts,"May 5, 2022",false
Gabrielle Settles,Says JFK. Jr is masquerading as QAnon promoter Juan O. Savin.,Facebook posts,"May 5, 2022",pants-fire
Jon Greenberg,“Republicans DO NOT want to throw doctors” in jail.,National Republican Senatorial Committee,"May 5, 2022",pants-fire
Vivian Lam,"""Pfizer tries to hide 2.4K full-time hires handling vax injuries.""",One America News,"May 5, 2022",barely-true
Warren Fiske,"“... Justices Gorsuch, Kavanaugh, and Barrett assured the Senate Judiciary Committee and the American people that Roe v. Wade was ‘established precedent.’”",Don Beyer,"May 5, 2022",mostly-true
Yacob Reyes,"“The student debt that is out there, almost 60% of it is graduate school debt.”",Ron DeSantis,"May 5, 2022",barely-true
Madison Czopek,"“There has never been a leak anything like this” draft of a Supreme Court opinion that would overturn Roe v. Wade. “There’s never been a leak of a vote — much less an actual opinion, much less in a case of this significance.”",Jeffrey Toobin,"May 4, 2022",mostly-true
Monique Curet,NBC News “covered up Hunter Biden laptop story.”,Elon Musk,"May 4, 2022",false
Sara Swann,“There are 63 million abortions a year in this country.”,Jeanine Pirro,"May 4, 2022",false
Jill Terreri,"“A STOLEN ELECTION: State totals minus illegal ballot trafficking numbers give President Trump decisive victories in AZ, GA, MI, PA, and WI.”",The Gateway Pundit,"• May 4,",false
Monique Curet,“White House physician demands Biden’s immediate resignation following his ‘obvious’ cognitive decline.”,Facebook posts,"May 3, 2022",false
Madison Czopek,“Paying taxes is optional!!”,Facebook posts,"May 3, 2022",pants-fire
Sara Swann,“Canada’s new law allows government to take children away if parents don’t accept kids’ ‘gender identity.’”,Instagram posts,"May 3, 2022",false
Bill McCarthy,"Conservatives gained Twitter followers after the company announced its deal with Elon Musk because ""Twitter lifted a broad anti-conservative, anti-Trump shadow ban.”",Sean Hannity,"May 2, 2022",false
Samantha Putterman,Images show the Ukrainian flag being replaced by the Soviet Union flag in Mariupol in 2022.,Instagram posts,"May 2, 2022",false
Ciara O'Rourke,Jackie Chan is dead.,Facebook posts,"May 2, 2022",pants-fire
Andy Nguyen,“The President of Ukraine owns a $35 million home in Florida and has $1.2 billion in a overseas bank account.”,Facebook posts,"May 2, 2022",false
Maria Ramirez,Sen. Mark Kelly voted “for benefits to illegals.”,National Republican Senatorial Committee,"• May 2,",false
